category	name	x	y	plane
training	Gnome Stronghold Agility Course	2474	3436	0
training	Draynor Village Rooftop Course	3103	3279	0
training	Al Kharid Rooftop Course	3273	3195	0
training	Varrock Rooftop Course	3221	3414	0
training	Canifis Rooftop Course	3507	3488	0
training	Falador Rooftop Course	3036	3341	0
training	Seers' Village Rooftop Course	2729	3486	0
training	Pollnivneach Rooftop Course	3351	2961	0
training	Rellekka Rooftop Course	2625	3677	0
training	Ardougne Rooftop Course	2673	3298	0
training	Barbarian Outpost Agility Course	2542	3558	0
training	Ape Atoll Agility Course	2754	2742	0
training	Wilderness Agility Course	3004	3937	0
training	Colossal Wyrm Agility Course	1640	2921	0
training	Brimhaven Agility Arena	2815	3193	0
training	Agility Pyramid	3364	2830	0
training	Gemstone Crab	1274	3159	0
training	Sand crabs (Hosidius shore)	1749	3468	0
training	Ammonite crabs (Fossil Island)	3706	3877	0
training	Rock crabs (Rellekka)	2673	3710	0
training	Wintertodt (Doors of Dinh)	1630	3948	0
training	Tempoross (Ruins of Unkah)	3146	2842	0
training	Otto's Grotto (barbarian training)	2500	3506	0
training	Sulliusceps (Tar Swamp)	3683	3757	0
