id	name	x	y	plane	type	orientation	sizeX	sizeY	state
48725	Large doors	1183	9836	0	0	3	1	1	closed
48724	Large doors	1184	9836	0	0	3	1	1	closed
41861	Gate	1188	10268	0	0	3	1	1	closed
24369	Door	1237	3683	0	0	2	1	1	closed
24369	Door	1242	3682	0	0	1	1	1	closed
8695	Door	1242	3703	0	0	0	1	1	closed
24369	Door	1245	3685	0	0	0	1	1	closed
1561	Gate	1246	3697	0	0	0	1	1	closed
1562	Gate	1246	3698	0	0	0	1	1	closed
34463	Door	1248	3723	0	0	3	1	1	closed
1562	Gate	1249	3689	0	0	2	1	1	closed
1561	Gate	1249	3690	0	0	2	1	1	closed
34464	Door	1249	3723	0	0	3	1	1	closed
8695	Door	1255	3689	0	0	2	1	1	closed
15056	Door	1284	3758	0	0	1	1	1	closed
13001	Door	1298	3720	0	0	3	1	1	closed
13001	Door	1299	3724	0	0	0	1	1	closed
34554	Alchemical door	1355	10258	0	0	2	1	1	closed
34553	Alchemical door	1355	10259	0	0	2	1	1	closed
8695	Door	1368	3634	0	0	1	1	1	closed
52594	Door	1375	2865	0	0	3	1	1	closed
55096	Door	1375	2927	0	0	0	1	1	closed
52594	Door	1376	2861	0	0	1	1	1	closed
1546	Door	1378	10223	0	0	2	1	1	closed
1546	Door	1378	10227	0	0	2	1	1	closed
1546	Door	1379	10219	0	0	2	1	1	closed
33556	Door	1380	3826	0	0	3	1	1	closed
33491	Door	1382	3817	0	0	3	1	1	closed
52594	Door	1383	2860	0	0	2	1	1	closed
33556	Door	1384	3826	0	0	3	1	1	closed
1546	Door	1385	10219	0	0	0	1	1	closed
1546	Door	1386	10223	0	0	0	1	1	closed
1546	Door	1386	10227	0	0	0	1	1	closed
52594	Door	1389	2868	0	0	2	1	1	closed
52600	Door	1391	2852	0	0	3	1	1	closed
55096	Door	1397	2972	0	0	0	1	1	closed
28479	Door	1431	3796	0	0	2	1	1	closed
28479	Door	1434	3744	0	0	3	1	1	closed
54706	Door	1438	2939	0	0	1	1	1	closed
41600	Gate	1439	9953	0	0	1	1	1	closed
28479	Door	1440	3788	0	0	1	1	1	closed
28479	Door	1456	3748	0	0	2	1	1	closed
28479	Door	1462	3759	0	0	3	1	1	closed
28480	Door	1483	3743	0	0	3	1	1	closed
28479	Door	1484	3743	0	0	3	1	1	closed
28479	Door	1489	3834	0	0	2	1	1	closed
42118	Door	1492	3563	0	0	2	1	1	closed
42122	Door	1496	3573	0	0	2	1	1	closed
52594	Door	1497	3250	0	0	3	1	1	closed
55096	Door	1500	3223	0	0	3	1	1	closed
42122	Door	1500	3574	0	0	3	1	1	closed
28479	Door	1501	3766	0	0	3	1	1	closed
42126	Door	1502	3572	0	0	0	1	1	closed
42124	Door	1502	3573	0	0	0	1	1	closed
58064	Door	1502	4637	0	0	1	1	1	closed
58064	Door	1502	4645	0	0	3	1	1	closed
52600	Door	1503	3224	0	0	0	1	1	closed
42116	Door	1503	3592	0	0	2	1	1	closed
58064	Door	1504	4645	0	0	3	1	1	closed
28480	Door	1506	3751	0	0	3	1	1	closed
28479	Door	1507	3751	0	0	3	1	1	closed
28479	Door	1512	3766	0	0	3	1	1	closed
28479	Door	1513	3832	0	0	0	1	1	closed
52594	Door	1515	3224	0	0	0	1	1	closed
52594	Door	1515	3232	0	0	0	1	1	closed
42116	Door	1519	3587	0	0	1	1	1	closed
42126	Door	1524	3555	0	0	1	1	1	closed
42124	Door	1524	3570	0	0	3	1	1	closed
42124	Door	1525	3555	0	0	1	1	1	closed
42126	Door	1525	3570	0	0	3	1	1	closed
28479	Door	1525	3747	0	0	3	1	1	closed
42126	Door	1530	3544	0	0	0	1	1	closed
42124	Door	1530	3545	0	0	0	1	1	closed
42116	Door	1530	3580	0	0	2	1	1	closed
42126	Door	1532	3562	0	0	0	1	1	closed
42124	Door	1532	3563	0	0	0	1	1	closed
28479	Door	1534	3723	0	0	1	1	1	closed
28479	Door	1537	3808	0	0	0	1	1	closed
42120	Door	1540	3570	0	0	2	1	1	closed
42118	Door	1542	3547	0	0	0	1	1	closed
42118	Door	1542	3556	0	0	0	1	1	closed
28479	Door	1542	3783	0	0	1	1	1	closed
42116	Door	1549	3569	0	0	3	1	1	closed
28479	Door	1551	3754	0	0	1	1	1	closed
28479	Door	1552	3782	0	0	0	1	1	closed
28479	Door	1553	3799	0	0	1	1	1	closed
42116	Door	1554	3564	0	0	0	1	1	closed
32208	Mithril door	1555	4875	0	0	1	1	1	closed
28479	Door	1561	3737	0	0	2	1	1	closed
28479	Door	1561	3759	0	0	0	1	1	closed
41600	Gate	1561	9953	0	0	2	1	1	closed
28852	Gate	1562	3487	0	0	2	1	1	closed
28851	Gate	1562	3488	0	0	2	1	1	closed
42116	Door	1562	3569	0	0	2	1	1	closed
42124	Door	1563	3557	0	0	2	1	1	closed
42126	Door	1563	3558	0	0	2	1	1	closed
42116	Door	1564	3545	0	0	2	1	1	closed
42116	Door	1565	3567	0	0	1	1	1	closed
42116	Door	1566	3556	0	0	3	1	1	closed
42118	Door	1566	3559	0	0	1	1	1	closed
42116	Door	1566	3572	0	0	3	1	1	closed
11620	Longhall door	1569	3720	0	0	3	1	1	closed
11621	Longhall door	1570	3720	0	0	3	1	1	closed
5890	Tent door	1579	3276	0	0	2	1	1	open
5888	Tent door	1579	3277	0	0	2	1	1	open
52594	Door	1580	3131	0	0	0	1	1	closed
52594	Door	1581	3133	0	0	1	1	1	closed
52600	Door	1587	3123	0	0	3	1	1	closed
52594	Door	1587	3128	0	0	1	1	1	closed
52594	Door	1590	3102	0	0	3	1	1	closed
33572	Door	1596	3819	0	0	0	1	1	closed
33570	Door	1596	3820	0	0	0	1	1	closed
52594	Door	1597	3101	0	0	2	1	1	closed
52594	Door	1603	3102	0	0	1	1	1	closed
52594	Door	1605	3097	0	0	3	1	1	closed
52594	Door	1606	3174	0	0	0	1	1	closed
11773	Door	1608	3662	0	0	1	1	1	closed
11773	Door	1620	3659	0	0	0	1	1	closed
11773	Door	1620	3687	0	0	0	1	1	closed
28457	Door	1623	3807	0	0	0	1	1	closed
28461	Door	1623	3808	0	0	0	1	1	closed
11783	Door	1623	9936	0	0	1	1	1	closed
52600	Door	1627	3300	0	0	3	1	1	closed
11470	Door	1627	4837	0	0	1	1	1	closed
30119	Door	1628	4829	0	0	0	1	1	closed
30118	Door	1629	4842	0	0	2	1	1	closed
30115	Door	1631	4835	0	0	3	1	1	closed
28456	Door	1632	3817	0	0	1	1	1	closed
28460	Door	1633	3817	0	0	1	1	1	closed
11470	Door	1633	4831	0	0	0	1	1	closed
30117	Door	1633	4837	0	0	0	1	1	closed
52600	Door	1634	3111	0	0	3	1	1	closed
28460	Door	1634	3798	0	0	3	1	1	closed
30114	Door	1634	4842	0	0	0	1	1	closed
28456	Door	1635	3798	0	0	3	1	1	closed
30112	Door	1635	4838	0	0	2	1	1	closed
30110	Large door	1636	4824	0	0	1	1	1	closed
52600	Door	1637	3113	0	0	3	1	1	closed
30111	Large door	1637	4824	0	0	1	1	1	closed
52600	Door	1639	3054	0	0	0	1	1	closed
7452	Door	1639	3575	0	0	3	1	1	closed
30116	Door	1640	4828	0	0	2	1	1	closed
7454	Locked door	1641	3564	0	0	3	1	1	closed
7452	Door	1641	3572	0	0	2	1	1	closed
28461	Door	1642	3805	0	0	2	1	1	closed
28457	Door	1642	3806	0	0	2	1	1	closed
11470	Door	1643	4832	0	0	1	1	1	closed
30113	Door	1643	4839	0	0	1	1	1	closed
52600	Door	1644	3285	0	0	0	1	1	closed
7452	Door	1645	3569	0	0	1	1	1	closed
7452	Door	1645	3576	0	0	3	1	1	closed
52821	Gate	1646	9564	0	0	0	1	1	closed
56507	Door	1647	3096	0	0	3	1	1	closed
56509	Door	1648	3096	0	0	3	1	1	closed
56513	Door	1649	3093	0	0	0	1	1	closed
7452	Door	1649	3572	0	0	0	1	1	closed
7452	Door	1649	3629	0	0	0	1	1	closed
28458	Door	1650	3736	0	0	1	1	1	closed
7452	Door	1651	3575	0	0	3	1	1	closed
28462	Door	1651	3736	0	0	1	1	1	closed
28463	Door	1653	3748	0	0	2	1	1	closed
28459	Door	1653	3749	0	0	2	1	1	closed
52600	Door	1657	3150	0	0	0	1	1	closed
28852	Gate	1657	3504	0	0	2	1	1	closed
28851	Gate	1657	3505	0	0	2	1	1	closed
52600	Door	1659	3142	0	0	1	1	1	closed
52594	Door	1661	3119	0	0	3	1	1	closed
52600	Door	1662	3101	0	0	2	1	1	closed
37940	Door	1664	6098	0	0	2	1	1	closed
52594	Door	1667	3067	0	0	3	1	1	closed
28459	Door	1668	3767	0	0	0	1	1	closed
28463	Door	1668	3768	0	0	0	1	1	closed
28459	Door	1669	3730	0	0	1	1	1	closed
52594	Door	1670	3062	0	0	1	1	1	closed
52594	Door	1670	3084	0	0	1	1	1	closed
52600	Door	1670	3120	0	0	3	1	1	closed
28463	Door	1670	3730	0	0	1	1	1	closed
7452	Door	1671	3603	0	0	3	1	1	closed
30167	Door	1671	6092	0	0	0	1	1	closed
52594	Door	1676	3066	0	0	1	1	1	closed
52600	Door	1676	3082	0	0	2	1	1	closed
15516	Gate	1676	3635	0	0	2	1	1	closed
15514	Gate	1676	3636	0	0	2	1	1	closed
28459	Door	1678	3784	0	0	0	1	1	closed
28461	Door	1678	3785	0	0	0	1	1	closed
28456	Door	1678	3802	0	0	0	1	1	closed
28462	Door	1678	3803	0	0	0	1	1	closed
37941	Door	1678	6134	0	0	3	1	1	closed
7452	Door	1679	3614	0	0	1	1	1	closed
30166	Gate	1681	6099	0	0	2	1	1	closed
30165	Gate	1681	6100	0	0	2	1	1	closed
37952	Gate	1686	12510	0	0	2	1	1	closed
37948	Gate	1686	12511	0	0	2	1	1	closed
72	Large door	1689	4256	0	0	2	1	1	closed
71	Large door	1689	4257	0	0	2	1	1	closed
52594	Door	1690	3066	0	0	3	1	1	closed
30164	Door	1690	6115	0	0	0	1	1	closed
52600	Door	1693	3118	0	0	3	1	1	closed
52600	Door	1693	3134	0	0	1	1	1	closed
28458	Door	1693	3723	0	0	1	1	1	closed
28462	Door	1694	3723	0	0	1	1	1	closed
52594	Door	1695	3068	0	0	3	1	1	closed
52594	Door	1698	3064	0	0	2	1	1	closed
50861	Gate	1698	9496	0	0	3	1	1	closed
52821	Gate	1698	9534	0	0	3	1	1	closed
52594	Door	1700	3068	0	0	3	1	1	closed
4247	Door	1701	3536	0	0	0	1	1	closed
28462	Door	1701	3764	0	0	3	1	1	closed
52600	Door	1702	3110	0	0	3	1	1	closed
28458	Door	1702	3764	0	0	3	1	1	closed
25788	Large door	1702	4255	0	0	0	1	1	closed
25790	Large door	1702	4256	0	0	0	1	1	closed
52594	Door	1703	3064	0	0	3	1	1	closed
37953	Gate	1703	12526	0	0	0	1	1	closed
37954	Gate	1703	12527	0	0	0	1	1	closed
52594	Door	1706	3066	0	0	3	1	1	closed
56528	Door	1706	9706	0	0	2	1	1	closed
52594	Door	1709	3066	0	0	3	1	1	closed
1535	Door	1710	6132	0	0	0	1	1	closed
1533	Curtain	1711	6113	0	0	2	1	1	closed
1533	Curtain	1711	6116	0	0	2	1	1	closed
56539	Door	1711	9702	0	0	3	1	1	closed
56539	Door	1711	9711	0	0	1	1	1	closed
1535	Door	1716	6134	0	0	3	1	1	closed
